sample_id,image_path,map_mask_path,label_mask_path,width,height,center_class,center_class_value,center_area_m2,center_x,center_y,xoff,yoff,source_raster_id,source_gsd_m,spatial_group,split_v1,spatial_component_v2,spatial_buffer_pixels_v2,split
omission_00826,/home/work/data/change_detection/building/map-ortho/image/omission_00826.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00826.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00826.png,1024,1024,omission,2,180.96,201576.753,542962.973,27397,44733,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
omission_00827,/home/work/data/change_detection/building/map-ortho/image/omission_00827.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00827.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00827.png,1024,1024,omission,2,377.336,201605.056,542918.01,27633,45107,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_5,val,spv2_0034,256,test
omission_00620,/home/work/data/change_detection/building/map-ortho/image/omission_00620.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00620.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00620.png,1024,1024,omission,2,192.863,201949.506,545137.529,30504,26611,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_3,train,spv2_0047,256,test
omission_00625,/home/work/data/change_detection/building/map-ortho/image/omission_00625.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00625.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00625.png,1024,1024,omission,2,130.056,202017.403,545127.482,31069,26695,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,3_3,train,spv2_0047,256,test
excess_00291,/home/work/data/change_detection/building/map-ortho/image/excess_00291.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00291.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00291.png,1024,1024,excess,3,53.634,202393.059,543420.171,34200,40923,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,4_4,train,spv2_0062,256,test
omission_01042,/home/work/data/change_detection/building/map-ortho/image/omission_01042.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_01042.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_01042.png,1024,1024,omission,2,66.771,202995.416,540217.395,39219,67612,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,4_8,train,spv2_0085,256,test
excess_00069,/home/work/data/change_detection/building/map-ortho/image/excess_00069.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00069.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00069.png,1024,1024,excess,3,230.158,203532.708,544859.715,43697,28926,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
excess_00070,/home/work/data/change_detection/building/map-ortho/image/excess_00070.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00070.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00070.png,1024,1024,excess,3,229.022,203563.847,544821.275,43956,29247,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
excess_00073,/home/work/data/change_detection/building/map-ortho/image/excess_00073.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00073.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00073.png,1024,1024,excess,3,247.904,203336.627,545906.286,42063,20205,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
excess_00074,/home/work/data/change_detection/building/map-ortho/image/excess_00074.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00074.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00074.png,1024,1024,excess,3,247.727,203318.837,545909.822,41915,20175,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
excess_00076,/home/work/data/change_detection/building/map-ortho/image/excess_00076.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00076.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00076.png,1024,1024,excess,3,254.361,203600.822,545715.102,44265,21798,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
excess_00078,/home/work/data/change_detection/building/map-ortho/image/excess_00078.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00078.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00078.png,1024,1024,excess,3,810.423,203379.161,545328.057,42417,25024,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
excess_00081,/home/work/data/change_detection/building/map-ortho/image/excess_00081.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00081.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00081.png,1024,1024,excess,3,175.941,203508.853,545723.553,43498,21728,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
excess_00089,/home/work/data/change_detection/building/map-ortho/image/excess_00089.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00089.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00089.png,1024,1024,excess,3,146.581,203465.368,544942.926,43136,28233,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
excess_00090,/home/work/data/change_detection/building/map-ortho/image/excess_00090.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00090.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00090.png,1024,1024,excess,3,157.973,203553.563,544898.611,43871,28602,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
excess_00093,/home/work/data/change_detection/building/map-ortho/image/excess_00093.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00093.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00093.png,1024,1024,excess,3,205.874,203561.133,545727.143,43934,21698,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
excess_00127,/home/work/data/change_detection/building/map-ortho/image/excess_00127.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00127.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00127.png,1024,1024,excess,3,154.38,203271.143,545161.021,41517,26415,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
excess_00137,/home/work/data/change_detection/building/map-ortho/image/excess_00137.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00137.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00137.png,1024,1024,excess,3,245.818,203626.613,545833.837,44479,20809,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
excess_00138,/home/work/data/change_detection/building/map-ortho/image/excess_00138.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00138.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00138.png,1024,1024,excess,3,147.861,203655.524,545925.265,44720,20047,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
excess_00142,/home/work/data/change_detection/building/map-ortho/image/excess_00142.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00142.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00142.png,1024,1024,excess,3,216.051,203405.151,545079.834,42634,27092,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
excess_00149,/home/work/data/change_detection/building/map-ortho/image/excess_00149.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00149.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00149.png,1024,1024,excess,3,204.769,203482.839,545166.809,43281,26367,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
excess_00155,/home/work/data/change_detection/building/map-ortho/image/excess_00155.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00155.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00155.png,1024,1024,excess,3,59.55,203507.715,545530.052,43489,23340,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00651,/home/work/data/change_detection/building/map-ortho/image/omission_00651.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00651.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00651.png,1024,1024,omission,2,136.214,203240.207,545134.634,41259,26635,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00655,/home/work/data/change_detection/building/map-ortho/image/omission_00655.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00655.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00655.png,1024,1024,omission,2,182.236,203208.382,545361.671,40994,24743,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00657,/home/work/data/change_detection/building/map-ortho/image/omission_00657.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00657.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00657.png,1024,1024,omission,2,113.911,203066.676,545458.229,39813,23939,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,4_2,train,spv2_0086,256,test
omission_00658,/home/work/data/change_detection/building/map-ortho/image/omission_00658.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00658.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00658.png,1024,1024,omission,2,616.503,203613.485,545599.457,44370,22762,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00659,/home/work/data/change_detection/building/map-ortho/image/omission_00659.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00659.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00659.png,1024,1024,omission,2,125.368,203724.694,545144.6,45297,26552,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00660,/home/work/data/change_detection/building/map-ortho/image/omission_00660.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00660.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00660.png,1024,1024,omission,2,144.376,203609.769,545993.735,44339,19476,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00664,/home/work/data/change_detection/building/map-ortho/image/omission_00664.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00664.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00664.png,1024,1024,omission,2,132.38,203577.23,545091.754,44068,26993,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00665,/home/work/data/change_detection/building/map-ortho/image/omission_00665.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00665.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00665.png,1024,1024,omission,2,161.685,203706.117,545355.203,45142,24797,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00666,/home/work/data/change_detection/building/map-ortho/image/omission_00666.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00666.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00666.png,1024,1024,omission,2,444.946,203718.952,545058.297,45249,27272,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00667,/home/work/data/change_detection/building/map-ortho/image/omission_00667.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00667.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00667.png,1024,1024,omission,2,534.576,203143.079,545331.175,40450,24998,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,4_3,train,spv2_0086,256,test
omission_00668,/home/work/data/change_detection/building/map-ortho/image/omission_00668.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00668.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00668.png,1024,1024,omission,2,307.585,203621.203,545580.158,44434,22923,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00680,/home/work/data/change_detection/building/map-ortho/image/omission_00680.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00680.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00680.png,1024,1024,omission,2,109.275,203667.761,546123.035,44822,18399,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00681,/home/work/data/change_detection/building/map-ortho/image/omission_00681.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00681.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00681.png,1024,1024,omission,2,197.601,203448.462,545857.714,42995,20610,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00682,/home/work/data/change_detection/building/map-ortho/image/omission_00682.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00682.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00682.png,1024,1024,omission,2,230.692,203446.934,545842.37,42982,20738,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00700,/home/work/data/change_detection/building/map-ortho/image/omission_00700.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00700.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00700.png,1024,1024,omission,2,323.412,203389.907,545433.304,42507,24146,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00702,/home/work/data/change_detection/building/map-ortho/image/omission_00702.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00702.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00702.png,1024,1024,omission,2,139.248,203818.32,546088.712,46077,18685,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00705,/home/work/data/change_detection/building/map-ortho/image/omission_00705.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00705.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00705.png,1024,1024,omission,2,170.039,203346.531,545212.628,42145,25985,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00710,/home/work/data/change_detection/building/map-ortho/image/omission_00710.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00710.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00710.png,1024,1024,omission,2,118.619,203584.95,545482.272,44132,23738,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00711,/home/work/data/change_detection/building/map-ortho/image/omission_00711.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00711.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00711.png,1024,1024,omission,2,130.336,203626.383,545721.628,44478,21744,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00712,/home/work/data/change_detection/building/map-ortho/image/omission_00712.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00712.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00712.png,1024,1024,omission,2,182.913,203505.622,544976.706,43471,27951,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00713,/home/work/data/change_detection/building/map-ortho/image/omission_00713.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00713.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00713.png,1024,1024,omission,2,159.433,203714.886,545956.453,45215,19787,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00714,/home/work/data/change_detection/building/map-ortho/image/omission_00714.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00714.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00714.png,1024,1024,omission,2,117.374,203388.131,545422.94,42492,24233,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_2,train,spv2_0086,256,test
omission_00746,/home/work/data/change_detection/building/map-ortho/image/omission_00746.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00746.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00746.png,1024,1024,omission,2,114.866,203325.589,545361.443,41971,24745,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_3,train,spv2_0086,256,test
omission_00932,/home/work/data/change_detection/building/map-ortho/image/omission_00932.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00932.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00932.png,1024,1024,omission,2,185.475,203243.463,541744.943,41287,54883,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_6,test,spv2_0087,256,test
omission_00934,/home/work/data/change_detection/building/map-ortho/image/omission_00934.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00934.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00934.png,1024,1024,omission,2,99.669,203252.546,541737.153,41362,54948,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_6,test,spv2_0087,256,test
omission_01029,/home/work/data/change_detection/building/map-ortho/image/omission_01029.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_01029.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_01029.png,1024,1024,omission,2,249.96,203137.514,541699.959,40404,55258,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,4_6,train,spv2_0087,256,test
excess_00567,/home/work/data/change_detection/building/map-ortho/image/excess_00567.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00567.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00567.png,1024,1024,excess,3,52.973,204142.045,539228.782,48775,75851,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,5_9,train,spv2_0132,256,test
excess_00157,/home/work/data/change_detection/building/map-ortho/image/excess_00157.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00157.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00157.png,1024,1024,excess,3,93.44,204420.008,546532.124,51091,14990,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,6_1,train,spv2_0143,256,test
excess_00186,/home/work/data/change_detection/building/map-ortho/image/excess_00186.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00186.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00186.png,1024,1024,excess,3,232.817,204480.193,546356.005,51593,16457,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,6_2,train,spv2_0143,256,test
excess_00188,/home/work/data/change_detection/building/map-ortho/image/excess_00188.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00188.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00188.png,1024,1024,excess,3,53.379,204429.201,546455.797,51168,15626,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,6_1,train,spv2_0143,256,test
excess_00189,/home/work/data/change_detection/building/map-ortho/image/excess_00189.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/excess_00189.png,/home/work/data/change_detection/building/map-ortho/label_mask/excess_00189.png,1024,1024,excess,3,76.613,204628.596,546261.165,52829,17248,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,6_2,train,spv2_0143,256,test
omission_00765,/home/work/data/change_detection/building/map-ortho/image/omission_00765.png,/home/work/data/change_detection/building/map-ortho/map_mask_2022/omission_00765.png,/home/work/data/change_detection/building/map-ortho/label_mask/omission_00765.png,1024,1024,omission,2,240.417,204646.64,546353.344,52980,16479,orthophoto_2020_seocho_gangnam_merged_5186_cog,0.12,6_2,train,spv2_0143,256,test
